word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
RETRACTION,n,STE (approved),,The result when something retracts,,The result when something retracts,,"DURING THE RETRACTION SEQUENCE, MAKE SURE THAT THE LANDING GEAR DOORS CLOSE.",,2-1-R14
return,n,Non-STE (not approved),,,GO (v),GO (v),,"AFTER THE AILERONS GO BACK TO NEUTRAL, MAKE SURE THAT THEY ARE FLUSH WITH THE FLAPS.","After the return of the ailerons to neutral, check that they are flush with the flaps.",2-1-R14
return,v,Non-STE (not approved),,,GO (v),GO (v),,THE PLUNGERS MUST GO BACK TO THE CLOSED POSITION.,Plungers must return to the closed position.,2-1-R15
reusable,adj,Non-STE (not approved),,,USE (v),USE (v),,YOU CAN USE THE MIXTURE AGAIN.,The mixture is reusable.,2-1-R15
reuse,v,Non-STE (not approved),,,USE (v),USE (v),,"IF THE FABRIC IS NOT DAMAGED, USE IT AGAIN.",Reuse the fabric if it is not damaged.,2-1-R15
reveal,v,Non-STE (not approved),,,SHOW (v),SHOW (v),,"IF THE FUEL SAMPLE SHOWS FREE WATER, DRAIN THE SYSTEM.","If the fuel sample reveals free water, drain the system.",2-1-R15
reverse,adj,Non-STE (not approved),,,OPPOSITE (adj),OPPOSITE (adj),This word is part of a technical noun when it refers to rearward thrust.,MOVE THE CONTROL IN THE OPPOSITE DIRECTION. | MANUALLY TURN THE PROPELLER BLADES TO THE FULL REVERSE POSITION.,Move the control in the reverse direction.,2-1-R15
reverse,v,Non-STE (not approved),,,OPPOSITE (adj),OPPOSITE (adj),,MOVE THE ROD IN THE OPPOSITE DIRECTION.,Reverse the movement of the rod.,2-1-R15
review,n,Non-STE (not approved),,,INSPECTION (n) | EXAMINE (v),INSPECTION (n) EXAMINE (v),,DO AN INSPECTION OF THE DAMAGED AREA. | EXAMINE THE DAMAGED AREA.,Do a review of the damaged area. | Do a review of the damaged area.,2-1-R15
rewind,v,Non-STE (not approved),,,WIND (v),WIND (v),,WIND THE CABLE BACK ONTO ITS REEL.,Rewind the cable onto its reel.,2-1-R15
rework,v,Non-STE (not approved),,,,,"Refer to technical verbs, manufacturing processes.","EXAMINE FOR SCRATCHES. | THEN, LIGHTLY POLISH ALL DAMAGED AREAS.",Examine for scratches and rework all damaged areas.,2-1-R15
rig,v,Non-STE (not approved),,,ADJUST (v),ADJUST (v),,ADJUST THE SYSTEM.,Rig the system.,2-1-R15
RIGHT,adj,STE (approved),,On the east side when you look north,,On the east side when you look north,,DO A FLOW CHECK OF THE PUMP IN THE RIGHT WING TANK.,,2-1-R15
right-hand,adj,Non-STE (not approved),,,RIGHT (adj),RIGHT (adj),,THE FUEL CONNECTOR IS IN THE RIGHT WING.,The fuel connector is in the right-hand wing.,2-1-R15
RIGID,adj,STE (approved),,That cannot easily bend or change shape,,That cannot easily bend or change shape,,REMOVE THE SCREWS FROM THE RIGID COVER.,,2-1-R15
rinse,v,Non-STE (not approved),,,FLUSH (v) | REMOVE (v) | CLEAN (v),FLUSH (v) REMOVE (v) CLEAN (v),,FLUSH THE FILTER WITH HOT WATER. | REMOVE THE CLEANING AGENT FROM THE SURFACE. | CLEAN THE WINDOW PANE WITH A LARGE QUANTITY OF WATER.,Rinse the filter in hot running water. | Rinse the cleaning agent from the surface. | Rinse the window pane with a large quantity of water.,2-1-R16
ripped,adj,Non-STE (not approved),,,DAMAGED (adj),DAMAGED (adj),,"IF THE SEAT COVER IS DAMAGED, REPLACE IT.","If the seat cover is ripped, replace it.",2-1-R16
rise,n,Non-STE (not approved),,,INCREASE (v),INCREASE (v),,"WHEN A FIRE STARTS, THE TEMPERATURE INCREASES AND CAUSES THE DETECTOR TO OPERATE.","When a fire starts, the temperature rise causes the detector to operate.",2-1-R16
rise,v,Non-STE (not approved),,,INCREASE (v),INCREASE (v),,FILL THE STRUT WITH FLUID UNTIL THE PRESSURE INCREASES.,Fill the strut with fuel until the pressure rises.,2-1-R16
RISK,n,STE (approved),,The possibility that something that is dangerous occurs,,The possibility that something that is dangerous occurs,,OBEY THE PRECAUTIONS TO PREVENT THE RISK OF FIRE.,,2-1-R16
rope off,v,Non-STE (not approved),,,ROPE (TN),ROPE (TN),,PUT ROPES AROUND THE AREA.,Rope off the area.,2-1-R16
rotary,adj,Non-STE (not approved),,,TURN (v),TURN (v),,TURN THE GEARS TO ALIGN THEM.,Use a rotary movement to align the gears.,2-1-R16
rotate,v,Non-STE (not approved),,,TURN (v),TURN (v),,SLOWLY TURN THE VANE.,Slowly rotate the vane.,2-1-R16
rotation,n,Non-STE (not approved),,,TURN (v),TURN (v),,MAKE SURE THAT THE FAN TURNS FREELY.,Ensure the free rotation of the fan.,2-1-R16
rotational,adj,Non-STE (not approved),,,TURN (v),TURN (v),,TURN THE GEARS TO ALIGN THEM.,Use a rotational movement to align the gears.,2-1-R16
ROUGH,adj,STE (approved),"ROUGHER, ROUGHEST",Not smooth,,Not smooth,,CLEAN THE ROUGH SURFACES CAREFULLY.,,2-1-R16
roughen,v,Non-STE (not approved),,,ROUGH (adj),ROUGH (adj),,MAKE THE FAYING SURFACES ROUGH.,Roughen the faying surfaces.,2-1-R16
roughness,n,Non-STE (not approved),,,ROUGH (adj),ROUGH (adj),,MAKE SURE THAT THE AREA OF THE BOND IS SUFFICIENTLY ROUGH.,Make sure the area of the bond has sufficient roughness.,2-1-R17
round,adj,Non-STE (not approved),,,CIRCULAR (adj),CIRCULAR (adj),,REPAIR THE DAMAGE WITH A CIRCULAR PATCH.,Repair the damage with a round patch.,2-1-R17
ROUNDED,adj,STE (approved),,Not angular,,Not angular,,"WHEN YOU INSTALL THE PART, MAKE SURE THAT THE ROUNDED EDGE IS AGAINST THE STRUCTURE.",,2-1-R17
route,n,Non-STE (not approved),,,ROUTING (n),ROUTING (n),,MAKE SURE THAT YOU DO NOT CHANGE THE WIRE ROUTING.,Make sure you do not change the wire routes.,2-1-R17
route,v,Non-STE (not approved),,,PUT (v) | ROUTING (n),PUT (v) ROUTING (n),,PUT THE FUELING HOSE ALONG THE GROUND. | MAKE SURE THAT THE ROUTING OF THE WIRE IS CORRECT.,Route the fueling hose along the ground. | Make sure that the wiring is correctly routed.,2-1-R17
routine,adj,Non-STE (not approved),,,USUAL (adj),USUAL (adj),,"IF SUCH FAILURES BECOME USUAL, REPLACE THE UNIT.","If such failures become routine, replace the unit.",2-1-R17
ROUTING,n,STE (approved),,"The specified direction that cables, pipes, wires, and other parts of a system must go along",,"The specified direction that cables, pipes, wires, and other parts of a system must go along",,DO NOT CHANGE THE ROUTING OF THE PIPE.,,2-1-R17
ROW,n,STE (approved),,A number of objects in a line,,A number of objects in a line,,THE PANELS ARE INSTALLED IN ROWS.,,2-1-R17
RUB,v,STE (approved),"RUBS, RUBBED, RUBBED",To move or cause something to move with pressure and friction along a surface,,To move or cause something to move with pressure and friction along a surface,,RUB THE SURFACE WITH A CLEAN CLOTH. | MAKE SURE THAT THE COILS OF THE OXYGEN HOSE DO NOT RUB TOGETHER.,,2-1-R17
run,v,Non-STE (not approved),,,OPERATE (v),OPERATE (v),,OPERATE THE ENGINE AT 100% THRUST.,Run the engine at 100% thrust.,2-1-R17
running,adj,Non-STE (not approved),,,FLUSH (v),FLUSH (v),,FLUSH THE PIPES WITH WATER. | Blank Page,Clean the pipes with running water.,2-1-R17
SAFE,adj,STE (approved),"SAFER, SAFEST","Not dangerous, disarmed",,"Not dangerous, disarmed",,"BEFORE YOU CONTINUE THE WORK, MAKE THE AREA SAFE.",,2-1-S1
SAFELY,adv,STE (approved),,In a safe manner,,In a safe manner,,MAKE SURE THAT THE LADDER IS SAFELY ATTACHED.,,2-1-S1
SAFETY,n,STE (approved),,A condition that is safe,,A condition that is safe,,"FOR YOUR SAFETY, ALWAYS USE A PROTECTIVE MASK.",,2-1-S1
SAFETY,v,STE (approved),"SAFETIES, SAFETIED, SAFETIED",1. To prevent accidental operation 2. To make sure that something does not become loose,,1. To prevent accidental operation 2. To make sure that something does not become loose,,"OPEN AND TAG THE CIRCUIT BREAKERS. | THEN, SAFETY THEM. | SAFETY THE NUT WITH LOCKWIRE.",,2-1-S1
safety-clip,v,Non-STE (not approved),,,LOCK (v) (WITH A CLIP [TN] OR | CLIPS [TN]) | SAFETY (v) (WITH A CLIP [TN] OR | CLIPS [TN]),LOCK (v) (WITH A CLIP [TN] OR CLIPS [TN]) SAFETY (v) (WITH A CLIP [TN] OR CLIPS [TN]),,"LOCK THE TURNBUCKLE ON THE CONTROL ROD WITH A CLIP. | OPEN AND TAG THE CIRCUIT BREAKER. | THEN, SAFETY IT WITH A CLIP.","Safety-clip the turnbuckle on the control rod. | Open, tag, and safety-clip the circuit breaker.",2-1-S1
safety-wire,v,Non-STE (not approved),,,LOCK (v) (WITH LOCKWIRE [TN]) | SAFETY (v) (WITH SAFETY WIRE | [TN]),LOCK (v) (WITH LOCKWIRE [TN]) SAFETY (v) (WITH SAFETY WIRE [TN]),,LOCK THE COVER TO THE FIRE EXTINGUISHER SWITCH WITH LOCKWIRE. | SAFETY THE NUT WITH SAFETY WIRE.,Safety-wire the cover to the fire extinguisher switch. | Safety-wire the nut.,2-1-S1
SAME,adj,STE (approved),,Agrees in all details,,Agrees in all details,,THE SAME PROCEDURE IS APPLICABLE TO THE TWO UNITS.,,2-1-S1
SAME,pron,STE (approved),,Agrees in all details,,Agrees in all details,,THE ADJUSTMENT OF THE LEFT AND RIGHT ACTUATORS MUST BE THE SAME.,,2-1-S2
SAMPLE,n,STE (approved),,A piece or quantity of something that you use for an inspection or test procedure to show that it has specified qualities,,A piece or quantity of something that you use for an inspection or test procedure to show that it has specified qualities,,"GET A SAMPLE OF THE FUEL. | THEN, MEASURE ITS SPECIFIC GRAVITY.",,2-1-S2
sample,v,Non-STE (not approved),,,SAMPLE (n),SAMPLE (n),,"GET A SAMPLE OF FUEL. | THEN, DO A TEST FOR WATER CONTAMINATION.",Sample and test the fuel for water contamination.,2-1-S2
SATISFACTORILY,adv,STE (approved),,In a satisfactory manner,,In a satisfactory manner,,MAKE SURE THAT THE MICROSWITCHES OPERATE SATISFACTORILY.,,2-1-S2
SATISFACTORY,adj,STE (approved),,Agrees with all that is necessary,,Agrees with all that is necessary,,A CLEARANCE OF 3 mm IS SATISFACTORY.,,2-1-S2
saturate,v,Non-STE (not approved),,,SOAK (v),SOAK (v),,SOAK THE ELEMENT FOR FOUR HOURS.,Saturate the element for four hours.,2-1-S2
save,v,Non-STE (not approved),,,KEEP (v),KEEP (v),,KEEP THE O-RINGS FOR THE SUBSEQUENT PROCEDURES.,Save the O-rings for the subsequent procedures.,2-1-S2
scan,v,Non-STE (not approved),,,EXAMINE (v) | SCAN (TN),EXAMINE (v) SCAN (TN),,EXAMINE THE SURFACE ALONG THE TRAILING EDGE. | THE ANTENNA DOES A SCAN THROUGH 80 DEG.,Scan the surface along the trailing edge. | Antenna scans through 80 deg.,2-1-S2
SCHEDULE,v,STE (approved),"SCHEDULES, SCHEDULED, SCHEDULED",To plan something in a time or a sequence,,To plan something in a time or a sequence,,SCHEDULE THE CHECKS OF THE TIRES AT REGULAR INTERVALS.,,2-1-S2
scored,adj,Non-STE (not approved),,,SCORE (TN),SCORE (TN),,"IF THE BEARING RACE HAS SCORES, REPLACE IT.","If the bearing race is scored, replace it.",2-1-S2
scrap,v,Non-STE (not approved),,,DISCARD (v),DISCARD (v),,DISCARD THE REMOVED SEAL.,Scrap the removed seal.,2-1-S2
scrape,v,Non-STE (not approved),,,REMOVE (v) (WITH A SCRAPER | [TN]),REMOVE (v) (WITH A SCRAPER [TN]),,REMOVE THE REMAINING SEALANT WITH AN APPLICABLE SCRAPER.,Scrape off the old sealant.,2-1-S3
scratched,adj,Non-STE (not approved),,,SCRATCH (TN),SCRATCH (TN),,REPAIR THE SURFACES THAT HAVE SCRATCHES.,Repair the scratched surfaces.,2-1-S3
screw,v,Non-STE (not approved),,,TURN (v) | ATTACH (v) (WITH A SCREW [TN] | OR SCREWS [TN]),TURN (v) ATTACH (v) (WITH A SCREW [TN] OR SCREWS [TN]),,CONTINUE TO TURN THE END FITTING UNTIL IT IS IN THE CORRECT POSITION. | ATTACH THE STRAPS TO THE PANELS WITH SCREWS.,Continue screwing the end fitting until it is in the correct position. | Screw the straps to the panels.,2-1-S3
scrub,v,Non-STE (not approved),,,CLEAN (v) (WITH A BRUSH [TN]),CLEAN (v) (WITH A BRUSH [TN]),,CLEAN THE METAL PARTS WITH A BRUSH.,Scrub all metal parts.,2-1-S3
SEAL,n,STE (approved),,Something that prevents access or leaks,,Something that prevents access or leaks,,APPLY SEALANT TO THE FILLET SEALS.,,2-1-S3
SEAL,v,STE (approved),"SEALS, SEALED, SEALED",To prevent access or leaks,,To prevent access or leaks,,SEAL THE OPENINGS WITH POLYETHYLENE.,,2-1-S3
search,v,Non-STE (not approved),,,EXAMINE (v),EXAMINE (v),,EXAMINE THE SURFACE FOR CRACKS.,Search the surface for cracks.,2-1-S3
seat,v,Non-STE (not approved),,,INSTALL (v) | AGAINST (prep),INSTALL (v) AGAINST (prep),,INSTALL THE O-RING IN ITS GROOVE ON THE PISTON. | MAKE SURE THAT THE VALVE IS IN ITS CORRECT POSITION AGAINST THE FRAME.,Seat the O-ring in its groove on the piston. | Make sure that the valve is seated on the frame.,2-1-S3
SECONDARY,adj,STE (approved),,Second in importance,,Second in importance,,THE SECONDARY FILTER REMOVES THE REMAINING CONTAMINATION.,,2-1-S3
secure,adj,Non-STE (not approved),,,TIGHT (adj) | SAFE (adj) | CORRECTLY (adv),TIGHT (adj) SAFE (adj) CORRECTLY (adv),,"MAKE SURE THAT THE BOLTS ARE TIGHT. | BEFORE YOU LIFT THE PLATFORM, MAKE SURE THAT IT IS SAFE. | MAKE SURE THAT THE BRACKETS ARE CORRECTLY ATTACHED.",Make sure that the bolts are secure. | Make sure that the platform is secure before you lift it. | Check the brackets for secure attachment.,2-1-S4
secure,v,Non-STE (not approved),,,ATTACH (v) | SAFETY (v),ATTACH (v) SAFETY (v),,REMOVE THE BOLTS THAT ATTACH THE UNIT. | SAFETY THE PULLEY GUARD PINS WITH SPLIT PINS.,Remove the bolts that secure the unit. | Secure the pulley guard pins with split pins.,2-1-S4
securely,adv,Non-STE (not approved),,,CORRECTLY (adv) | SAFELY (adv) | TIGHT (adj),CORRECTLY (adv) SAFELY (adv) TIGHT (adj),,MAKE SURE THAT THE BRACKETS ARE CORRECTLY ATTACHED. | MAKE SURE THAT THE LADDER IS SAFELY ATTACHED. | MAKE SURE THAT THE BOLTS ARE TIGHT.,Make sure that the brackets are securely attached. | Make sure the ladder is securely attached. | Make sure that the bolts are securely installed.,2-1-S4
security,n,Non-STE (not approved),,,CORRECTLY (adv),CORRECTLY (adv),,MAKE SURE THAT THE COMPONENTS ARE CORRECTLY ATTACHED.,Check the security of the components.,2-1-S4
SEE,v,STE (approved),"SEES, SAW, SEEN",To know with the eyes,REFER (v) | EXAMINE (v) | MAKE SURE (v),To know with the eyes REFER (v) EXAMINE (v) MAKE SURE (v),"For other meanings, use:",MAKE SURE THAT YOU CAN SEE THE CABLE THROUGH THE INSPECTION HOLE. | REFER TO TABLE 8001 FOR THE APPLICABLE TORQUE VALUES. | EXAMINE THE MEMBRANE FOR HOLES. | MOVE THE TUBE TO MAKE SURE THAT ITS INNER CONNECTION IS TIGHT.,See Table 8001 for the applicable torque values. | Check the membrane to see if there are holes. | Move the tube to see if its inner connection is tight.,2-1-S5
seek,v,Non-STE (not approved),,,GET (v),GET (v),,GET MEDICAL AID IMMEDIATELY.,Seek medical attention immediately.,2-1-S5
seepage,n,Non-STE (not approved),,,LEAKAGE (n),LEAKAGE (n),,CLEAN THE AREAS WHERE THERE IS HYDRAULIC FLUID LEAKAGE.,Clean the areas where there is hydraulic fluid seepage.,2-1-S5
seized,adj,Non-STE (not approved),,,CATCH (v) | MOVE (v) | TURN (v),CATCH (v) MOVE (v) TURN (v),,"IF THE CONTROL CABLE IS CAUGHT IN THE PULLEY, RELEASE THE CABLE TENSION. | IF YOU CANNOT MOVE THE BOLTS, APPLY SOME PENETRATING OIL. | IF THE FLAP CONTROL MOTOR CANNOT TURN, USE THE ALTERNATIVE MODE.","If the control cable is seized in the pulley, release the cable tension. | If the bolts are seized, apply some penetrating oil. | If the flap control motor is seized, use the alternate mode.",2-1-S5
SELECT,v,STE (approved),"SELECTS, SELECTED, SELECTED",To make a choice,,To make a choice,Do not use this word as a synonym for SET (v).,SELECT THE HYDRAULIC SYSTEM THAT YOU WILL PRESSURIZE. | SELECT A LANGUAGE FROM THE MENU. | SET THE SWITCH TO “TEST.”,Select the switch to TEST.,2-1-S6
SELECTION,n,STE (approved),,The action or result of choosing,,The action or result of choosing,,THE OPERATION OF THE INDICATOR DOES NOT PREVENT THE SELECTION OF SYSTEM 1.,,2-1-S6
SEMICIRCULAR,adj,STE (approved),,That has the shape of half a circle,,That has the shape of half a circle,,THE VALVE FLAPS ARE SEMICIRCULAR.,,2-1-S6
SEND,v,STE (approved),"SENDS, SENT, SENT",To cause to go,,To cause to go,,SEND THE FILTER ELEMENT TO THE MAINTENANCE SHOP FOR THE NECESSARY INSPECTION.,,2-1-S6
SENSE,v,STE (approved),"SENSES, SENSED, SENSED",To get an input automatically,,To get an input automatically,,THE TEMPERATURE BULB SENSES THE EXTERNAL AIR TEMPERATURE.,,2-1-S6
SENSITIVE,adj,STE (approved),,That can sense small changes,,That can sense small changes,,THE CAPSULE IS SENSITIVE TO PRESSURE CHANGES.,,2-1-S6
separable,adj,Non-STE (not approved),,,DISASSEMBLE (v) | DISCONNECT (v),DISASSEMBLE (v) DISCONNECT (v),,YOU CAN DISASSEMBLE THIS UNIT INTO TWO PARTS. | YOU CAN DISCONNECT THESE LINE FITTINGS.,This unit is separable into two parts. | These line fittings are separable.,2-1-S6
separate,adj,Non-STE (not approved),,,ISOLATED (adj) | DIFFERENT (adj) | NOT CONNECTED NOT ATTACHED,ISOLATED (adj) DIFFERENT (adj) NOT CONNECTED NOT ATTACHED,,EACH HYDRAULIC SYSTEM IS FULLY ISOLATED. | PUT THE REMAINING PARTS IN A DIFFERENT CONTAINER. | THESE TWO TRACKS ARE NOT CONNECTED TO THE OTHER TWO. | THE CAP IS NOT ATTACHED TO THE COUPLING.,All hydraulic systems are completely separate. | Put the remaining parts in a separate container. | These two tracks are separate from the other two. | The cap is separate from the coupling.,2-1-S7
separate,v,Non-STE (not approved),,,DISCONNECT (v) | DIVIDE (v),DISCONNECT (v) DIVIDE (v),,DISCONNECT THE LINE FITTINGS. | YOU CAN DIVIDE THE DRAINS INTO THREE GROUPS.,Separate the line fittings. | You can separate the drains into three groups.,2-1-S7
separately,adv,Non-STE (not approved),,,INDEPENDENTLY (adv),INDEPENDENTLY (adv),,THE SYSTEM MONITORS THE CONDITION OF THE PARTS INDEPENDENTLY.,The system monitors the condition of the parts separately.,2-1-S7
SEPARATION,n,STE (approved),,The action or result of separating,,The action or result of separating,,SEPARATION OF THESE PARTS IS NOT EASY.,,2-1-S7
SEQUENCE,n,STE (approved),,The relation of items that follow one after the other in a list or the relation of steps or events that occur one after the other in time,,The relation of items that follow one after the other in a list or the relation of steps or events that occur one after the other in time,,TIGHTEN THE BOLTS IN THE SEQUENCE THAT IS GIVEN IN FIGURE 3.,,2-1-S7
serious,adj,Non-STE (not approved),,,IMPORTANT (adj) | DANGEROUS (adj),IMPORTANT (adj) DANGEROUS (adj),,VIRUS CONTAMINATION IS AN IMPORTANT PROBLEM. | HYDRAULIC FLUID IS DANGEROUS FOR YOUR EYES.,Virus contamination is a serious problem. | Hydraulic fluid can cause serious eye injury.,2-1-S7
serrated,adj,Non-STE (not approved),,,SERRATION (n),SERRATION (n),,USE GLOVES WHEN YOU TOUCH PARTS WITH EDGE SERRATIONS.,Use gloves when handling parts with serrated edges.,2-1-S8
SERRATION,n,STE (approved),,One or more notches or teeth as in a saw,,One or more notches or teeth as in a saw,,MAKE MARKS THAT SHOW THE LOCATION OF THE SERRATIONS.,,2-1-S8
serve,v,Non-STE (not approved),,,,,Use an accurate verb.,THE RADIO MASTER SWITCH CONTROLS THE BUS BAR.,The radio master switch serves to control the bus bar.,2-1-S8
service,v,Non-STE (not approved),,,SERVICING (n),SERVICING (n),,DO THE SERVICING OF THE FIRE EXTINGUISHERS.,Service the fire extinguishers.,2-1-S8
serviceability,n,Non-STE (not approved),,,SERVICEABLE (adj),SERVICEABLE (adj),,THE TIRE IS SERVICEABLE IF THE CUTS ARE SMALLER THAN 10 mm.,The serviceability of the tire is not affected by any cut smaller than 10 mm.,2-1-S8
SERVICEABLE,adj,STE (approved),,Correct or satisfactory,,Correct or satisfactory,,DO A VISUAL INSPECTION OF THE ADAPTER TO MAKE SURE THAT IT IS SERVICEABLE.,,2-1-S8
SERVICING,n,STE (approved),,The steps necessary to prepare something for operation,,The steps necessary to prepare something for operation,,"BEFORE YOU DO SERVICING OF THE HYDRAULIC SYSTEM, ISOLATE IT.",,2-1-S8
SET,n,STE (approved),,A group of related items that you (can) use for the same purpose,,A group of related items that you (can) use for the same purpose,,USE THE SET OF TOOLS THAT IS SUPPLIED WITH THE UNIT.,,2-1-S8
SET,v,STE (approved),"SETS, SET, SET","To put something into a given adjustment, condition, or mode",,"To put something into a given adjustment, condition, or mode",,SET THE ALTIMETER SCALE TO 1013 mbar.,,2-1-S8
setting,n,Non-STE (not approved),,,ADJUSTMENT (n) | POSITION (n) | SET (v),ADJUSTMENT (n) POSITION (n) SET (v),,DO NOT CHANGE THE ADJUSTMENT OF THE SWITCHES. | MAKE SURE THAT THE POSITION OF THE FLAPS IS EIGHT DEG. | THE MANUFACTURER SETS THE LENGTH OF THE ROD IN THE FACTORY.,Do not change the setting of the switches. | Check flaps for eight deg. setting. | Setting of the rod length is achieved in the factory.,2-1-S8
settle,v,Non-STE (not approved),,,COLLECT (v) | STABLE (adj),COLLECT (v) STABLE (adj),,LET THE SEDIMENT COLLECT AT THE BOTTOM OF THE CONTAINER. | LET THE INDICATIONS BECOME STABLE.,Let the sediment settle at the bottom of the container. | Let the indications settle.,2-1-S9
sever,v,Non-STE (not approved),,,CUT (v),CUT (v),,MAKE SURE THAT YOU DO NOT CUT THE CONTROL CABLE.,Make sure you do not sever the control cable.,2-1-S9
several,adj,Non-STE (not approved),,,SOME (adj),SOME (adj),"If this alternative is not sufficient, give the range, quantity, number, or minimum value.",SOME FUNCTIONS ARE NOT AVAILABLE. | SOAK THE FILLER CAPS IN DISTILLED WATER FOR A MINIMUM OF EIGHT HOURS.,Several functions are not available. | Soak the filler caps in distilled water for several hours.,2-1-S9
severe,adj,Non-STE (not approved),,,DANGEROUS (adj),DANGEROUS (adj),,THIS ANTISEPTIC CAN BE DANGEROUS FOR YOUR SKIN.,This antiseptic can cause severe skin problems.,2-1-S9
SHAKE,v,STE (approved),"SHAKES, SHOOK, SHAKEN",To move or cause to move quickly up and down or from side to side,,To move or cause to move quickly up and down or from side to side,,SHAKE THE CONTAINER. | THE CONTROL COLUMN STARTS TO SHAKE BEFORE A STALL OCCURS.,,2-1-S9
shall,v,Non-STE (not approved),,,MUST (v),MUST (v),,HOLES MUST NOT HAVE SHARP EDGES.,Holes shall not have sharp edges.,2-1-S9
SHAPE,n,STE (approved),,The contour of an object,,The contour of an object,,THE PATCH MUST BE THE SAME SHAPE AS THE CUTOUT.,,2-1-S9
shape,v,Non-STE (not approved),,,SHAPE (n),SHAPE (n),,MAKE THE PATCH THE SAME SHAPE AS THE CUTOUT.,Shape the patch to suit the cutout.,2-1-S9
SHARP,adj,STE (approved),"SHARPER, SHARPEST",That can cut or make a hole,,That can cut or make a hole,,MAKE A HOLE WITH A SHARP TOOL.,,2-1-S9
sharply,adv,Non-STE (not approved),,,QUICKLY (adv) | SUDDENLY (adv),QUICKLY (adv) SUDDENLY (adv),,QUICKLY PULL THE CABLES TO DISENGAGE THEM. | MOVE THE CONTROL COLUMN FORWARD SUDDENLY.,Sharply pull the cables to disengage them. | Move the control column forward sharply.,2-1-S10
shear,v,Non-STE (not approved),,,BREAK (v) | CUT (v),BREAK (v) CUT (v),,TIGHTEN THE NUT. | CONTINUE UNTIL THE NUT BREAKS. | DO NOT CUT THE WIRES.,Tighten the nut until it shears. | Do not shear the wires.,2-1-S10
SHEET,n,STE (approved),,A piece of material that is thin in relation to its length and width,,A piece of material that is thin in relation to its length and width,,"IF THE SHEETS HAVE DENTS WITH A DEPTH OF MORE THAN 0.5 mm, REMOVE THESE DENTS.",,2-1-S10
shield,v,Non-STE (not approved),,,PREVENT (v) | PROTECTION (n),PREVENT (v) PROTECTION (n),,PUT ON GOGGLES TO PREVENT INJURY TO YOUR EYES. | GIVE THE CONTROL UNIT PROTECTION FROM DAMAGE.,Shield your eyes. | Shield the control unit from damage.,2-1-S10
shift,v,Non-STE (not approved),,,MOVE (v),MOVE (v),,MOVE THE LEVER FORWARD.,Shift the lever forward.,2-1-S10
SHINY,adj,STE (approved),"SHINIER, SHINIEST",That can cause a reflection of light,,That can cause a reflection of light,,CLEAN THE SHINY AREA OF THE OLEO STRUT.,,2-1-S10
SHOCK,n,STE (approved),,The sudden effect of energy on a person or object,,The sudden effect of energy on a person or object,,SHOCKS CAN CAUSE DAMAGE TO THE GYROSCOPE.,,2-1-S10
SHORT,adj,STE (approved),"SHORTER, SHORTEST",That has small length or duration,,That has small length or duration,"If it is possible, be accurate.","ATTACH THE SHORT ARM OF THE BELLCRANK TO THE ROD. | AFTER YOU STOP THE POWER SUPPLY, THE TEMPERATURE DECREASES IN A SHORT TIME. | THIS TIME MUST NOT BE MORE THAN 30 SECONDS.",,2-1-S10
shorten,v,Non-STE (not approved),,,DECREASE (v),DECREASE (v),,DO NOT DECREASE THE STERILIZATION TIME.,Do not shorten the sterilization time.,2-1-S11
should,v,Non-STE (not approved),,,MUST (v) | IF (conj),MUST (v) IF (conj),,"PERSONNEL MUST USE PROTECTIVE CLOTHING. | IF A SYSTEM FAILURE OCCURS, STOP OPERATION IMMEDIATELY.","Personnel should wear protective clothing. | Should a system failure occur, stop operation immediately.",2-1-S11
SHOW,v,STE (approved),"SHOWS, SHOWED, SHOWN",1. To cause to be seen 2. To be in view or come into view,,1. To cause to be seen 2. To be in view or come into view,,THE INDICATOR SHOWS THE LEVEL OF BATTERY CHARGE. | THE SYMBOL SHOWS ON THE SCREEN.,,2-1-S11
shut down,v,Non-STE (not approved),,,STOP (v),STOP (v),,STOP THE ENGINE.,Shut down the engine.,2-1-S11
SIDE,n,STE (approved),,1. The specified surface or area of an object 2. A location or direction that has a relationship to a center or a line of division,,1. The specified surface or area of an object 2. A location or direction that has a relationship to a center or a line of division,,LUBRICATE ONE SIDE OF THE WASHER. | PUSH THE UNIT OUT AND THEN MOVE IT TO THE LEFT SIDE.,,2-1-S11
sideways,adv,Non-STE (not approved),,,SIDE (n),SIDE (n),,PUSH THE UNIT OUT AND THEN MOVE IT TO THE LEFT SIDE.,Push the unit out and then move it sideways.,2-1-S11
sight,n,Non-STE (not approved),,,VIEW (n),VIEW (n),,TURN THE KNOB TO MAKE THE DISPLAY GO OUT OF VIEW.,Turn the knob to make the display go out of sight.,2-1-S11
sight,v,Non-STE (not approved),,,LOOK (v),LOOK (v),,LOOK ALONG THE SKIN.,Sight along the skin.,2-1-S11
SIGN,n,STE (approved),,The indication of a possible condition,,The indication of a possible condition,,EXAMINE THE SURFACE FOR SIGNS OF INTERNAL DAMAGE.,,2-1-S11
significant,adj,Non-STE (not approved),,,IMPORTANT (adj),IMPORTANT (adj),,THIS PROCEDURE IS IMPORTANT FOR THE CORRECT OPERATION OF THE UNIT.,This procedure is significant for the correct operation of the unit.,2-1-S11
