word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
AGAIN,adv,STE (approved),,One more occurrence,,One more occurrence,,"MOVE THE CONTROL STICK BACK TO THE CENTER, AND THEN MOVE IT FORWARD AGAIN.",,2-1-A10
AGAINST,prep,STE (approved),,In contact with,,In contact with,,PUT THE ADAPTER IN POSITION AGAINST ITS SUPPORT.,,2-1-A10
AGENT,n,STE (approved),,One of a group of materials made to do a specified task,,One of a group of materials made to do a specified task,,DO NOT USE THESE CLEANING AGENTS ON HOT SURFACES.,,2-1-A10
aggravate,v,Non-STE (not approved),,,INCREASE (v),INCREASE (v),,TIRE WEAR INCREASES WITH HIGH SPEED.,Tire wear is aggravated by high speed.,2-1-A10
agitate,v,Non-STE (not approved),,,SHAKE (v),SHAKE (v),,SHAKE THE SOLUTION.,Agitate the solution.,2-1-A10
agitation,n,Non-STE (not approved),,,SHAKE (v),SHAKE (v),,"IF YOU SHAKE THE SOLUTION, DO NOT USE IT FOR ONE HOUR.","After agitation, do not use the solution for one hour.",2-1-A10
AGREE,v,STE (approved),"AGREES, AGREED, AGREED",To be consistent with,,To be consistent with,,THE INDICATIONS MUST AGREE WITH THE VALUES IN TABLE 1001.,,2-1-A11
ahead,adv,Non-STE (not approved),,,FORWARD (adv),FORWARD (adv),,"WHEN YOU INSTALL THE ANTENNA, THE ALIGNMENT ARROW MUST POINT FORWARD.","When you install the antenna, the alignment arrow must point ahead.",2-1-A11
AID,n,STE (approved),,Help that is given,,Help that is given,,"IF YOU GET THIS CHEMICAL SOLUTION INTO YOUR EYES, GET MEDICAL AID IMMEDIATELY.",,2-1-A11
aid,v,Non-STE (not approved),,,HELP (v),HELP (v),,APPLY SAND TO THE PLANKS TO HELP WITH TIRE TRACTION.,Apply sand to the planks to aid tire traction.,2-1-A11
aim,v,Non-STE (not approved),,,POINT (v),POINT (v),,DO NOT POINT THE HOSE AT PERSONS.,Do not aim the hose at persons.,2-1-A11
AIRBORNE,adj,STE (approved),,"In, or used in, flight",,"In, or used in, flight",,POSITION 2 OF THE SWITCH GIVES A SIGNAL OF THE AIRCRAFT AIRBORNE CONDITION.,,2-1-A11
air-dry,v,Non-STE (not approved),,,DRY (v),DRY (v),,DRY THE FILTER IN THE AIR.,Air-dry the filter.,2-1-A11
AIRFLOW,n,STE (approved),,A flow of air,,A flow of air,,MAKE SURE THAT THE AIRFLOW IS NOT MORE THAN 10 LITERS/MINUTE.,,2-1-A11
alert,v,Non-STE (not approved),,,TELL (v),TELL (v),,TELL ALL PERSONS TO GO AWAY FROM THE AREA.,Alert all persons to go away from the area.,2-1-A11
ALIGN,v,STE (approved),"ALIGNS, ALIGNED, ALIGNED",To put or come into a specified position in relation to a line,,To put or come into a specified position in relation to a line,,ALIGN THE FLANGE HOLES WITH THE STUDS. | ALL THREE BRACKET HOLES MUST ALIGN WITH THE FUEL TUBE.,,2-1-A11
alignment,n,Non-STE (not approved),,,ALIGN (v),ALIGN (v),,MAKE SURE THAT THE KEYWAY IS AT THE TOP AND ALIGNS WITH THE PEG.,Ensure that the keyway is at the top and in alignment with the peg.,2-1-A12
ALL,adj,STE (approved),,Full quantity,,Full quantity,,DRAIN ALL THE FLUIDS.,,2-1-A12
allocate,v,Non-STE (not approved),,,GIVE (v),GIVE (v),,GIVE THE DIFFERENT MAINTENANCE TASKS TO THE APPROVED TECHNICIANS.,Allocate the different maintenance tasks to the approved technicians.,2-1-A12
allow,v,Non-STE (not approved),,,LET (v),LET (v),,DO NOT LET THE CABLE TOUCH THE FLOOR.,Do not allow the cable to touch the floor.,2-1-A12
allowable,adj,Non-STE (not approved),,,PERMITTED (adj) | APPROVED (adj),PERMITTED (adj) APPROVED (adj),,THE MAXIMUM PERMITTED DIFFERENCE IS 5 mm. | THE VALUES MUST NOT BE MORE THAN THE APPROVED DIFFERENCES GIVEN IN TABLE 1.,The maximum allowable difference is 5 mm. | The values must not be more than the allowable differences given in table 1.,2-1-A12
ALMOST,adv,STE (approved),,Near the limit or the value,,Near the limit or the value,,MAKE SURE THAT THE PRESSURE IN THE CABIN IS ALMOST ZERO.,,2-1-A12
ALONG,prep,STE (approved),,In a line parallel with the length or direction of,,In a line parallel with the length or direction of,,MOVE THE TENSIOMETER ALONG THE CABLE.,,2-1-A12
already,adv,Non-STE (not approved),,,IN PROGRESS (adv) | NO OTHER,IN PROGRESS (adv) NO OTHER,"Frequently, an alternative for this word is not necessary.",THE DATABASE SYNCHRONIZATION IS IN PROGRESS. | YOU CAN DO THIS REPAIR PROCEDURE ONLY IF THERE IS NO OTHER DAMAGE. | MAKE SURE THAT THE SOFTWARE IS INSTALLED IN THE REPOSITORY.,The database is already synchronizing. | Only do this repair procedure if there is not already damage. | Make sure that the software is already installed in the repository.,2-1-A12
ALSO,adv,STE (approved),,In addition,,In addition,,ALSO DO THE APPLICABLE STEPS OF THIS PROCEDURE.,,2-1-A12
alter,v,Non-STE (not approved),,,CHANGE (v),CHANGE (v),,IT IS POSSIBLE THAT THE INSTALLATION OF THE CONNECTOR PINS CHANGED THE ROUTING OF THE CABLE LOOM.,It is possible that the installation of the connector pins altered the routing of the cable loom.,2-1-A13
alteration,n,Non-STE (not approved),,,CHANGE (v),CHANGE (v),,"IF YOU CHANGE THIS REPAIR PROCEDURE, GET APPROVAL OF THE DESIGN AUTHORITY.",The alteration to this repair procedure must get approval of the Design Authority.,2-1-A13
alternate,adj,Non-STE (not approved),,,ALTERNATIVE (adj) | EACH SECOND,ALTERNATIVE (adj) EACH SECOND,,AN ALTERNATIVE REPAIR IS AVAILABLE. | EACH SECOND SQUARE IS RED.,An alternate repair is available. | Alternate squares are red.,2-1-A13
alternate,v,Non-STE (not approved),,,THEN (adv),THEN (adv),,DO THE PILOT’S INSTRUMENT TEST AND THEN THE COPILOT’S TEST.,Alternate between pilot’s and copilot’s instrument test.,2-1-A13
alternately,adv,Non-STE (not approved),,,IN ONE (TN) ... AND THEN THE OTHER,IN ONE (TN) ... AND THEN THE OTHER,,"TO MAKE PIN REMOVAL EASIER, MANUALLY TURN THE CANOPY IN ONE DIRECTION AND THEN IN THE OTHER.","To make pin removal easier, manually turn the canopy alternately in the two directions.",2-1-A13
ALTERNATIVE,adj,STE (approved),,That gives a choice,,That gives a choice,,YOU CAN USE ALTERNATIVE MATERIALS.,,2-1-A13
ALTERNATIVE,n,STE (approved),,One of two or more objects or processes that have the same or almost the same properties or functions,,One of two or more objects or processes that have the same or almost the same properties or functions,,A BIO-BASED FUEL CAN BE AN ALTERNATIVE TO FUELS JET-A1 AND JET-A.,,2-1-A13
alternatively,adv,Non-STE (not approved),,,ALTERNATIVE (n),ALTERNATIVE (n),,YOU CAN DO TEST B AS AN ALTERNATIVE.,"Alternatively, you can do test B.",2-1-A13
ALTHOUGH,conj,STE (approved),,In spite of the fact that,,In spite of the fact that,,"ALTHOUGH THE PRESSURE DECREASES, THE VALVE MUST STAY CLOSED.",,2-1-A13
ALWAYS,adv,STE (approved),,At all times,,At all times,,ALWAYS KEEP THE BRIGHTNESS CONTROL ON THE LCD DISPLAY AT MAXIMUM.,,2-1-A13
amend,v,Non-STE (not approved),,,CHANGE (v),CHANGE (v),,"IF IT IS NECESSARY TO CHANGE THE REPAIR SCHEME, GET THE APPROVAL OF THE DESIGN AUTHORITY.","If it is necessary to amend the Repair Scheme, get the approval of the Design Authority.",2-1-A14
amendment,n,Non-STE (not approved),,,CHANGE (n) | CHANGE (v),CHANGE (n) CHANGE (v),,"THE DESIGN AUTHORITY MUST GIVE APPROVAL TO THE CHANGES THAT YOU MAKE TO THE REPAIR SCHEME. | IF IT IS NECESSARY TO CHANGE THE REPAIR SCHEME, GET THE APPROVAL OF THE DESIGN AUTHORITY.","The Design Authority must approve the amendments that you make to the Repair Scheme. | If an amendment to the Repair Scheme is necessary, get the approval of the Design Authority.",2-1-A14
among,prep,Non-STE (not approved),,,IN (prep),IN (prep),,"IF THERE ARE METAL PARTICLES IN THE SAMPLES, REPLACE THE PUMP.","If there are metal particles among the samples, replace the pump.",2-1-A14
amount,n,Non-STE (not approved),,,QUANTITY (n),QUANTITY (n),,MAKE SURE THAT THE QUANTITY OF FUEL IN THE TANK IS NOT MORE THAN 500 LITERS.,Make sure that the amount of fuel in the tank is not more than 500 liters.,2-1-A14
AN,art,STE (approved),,Function word: indefinite article,,Function word: indefinite article,,MAKE AN ENTRY IN THE LOGBOOK.,,2-1-A14
ANALOG,adj,STE (approved),,Of data given by pointers and dials,,Of data given by pointers and dials,,THE PRE-MOD UNIT HAS ANALOG INDICATORS.,,2-1-A14
analyze,v,Non-STE (not approved),,,ANALYSIS (TN),ANALYSIS (TN),,MAKE AN ANALYSIS OF THE OIL.,Analyze the oil sample.,2-1-A14
anchor,v,Non-STE (not approved),,,ATTACH (v),ATTACH (v),,THE STRAPS ARE ATTACHED TO A FULL-LENGTH RAIL.,The straps are anchored to a full-length rail.,2-1-A14
ancillary,adj,Non-STE (not approved),,,AUXILIARY (adj) | SECONDARY (adj),AUXILIARY (adj) SECONDARY (adj),,THE ENGINE AND ALL AUXILIARY EQUIPMENT USE THE SAME LUBRICANT. | DO AN OPERATIONAL CHECK OF THE SECONDARY CONTROLS.,The engine and all ancillary equipment use the same lubricant. | Do an operational check of the ancillary controls.,2-1-A15
AND,conj,STE (approved),,"Function word used to connect words, phrases, or clauses",,"Function word used to connect words, phrases, or clauses",,MAKE SURE THAT THE FLAPS ARE RETRACTED AND THE AILERON TRIM HANDWHEEL IS IN THE ZERO POSITION.,,2-1-A15
ANGULAR,adj,STE (approved),,That has one or more angles,,That has one or more angles,,MAKE SURE THAT THE ANGULAR POSITION IS CORRECT.,,2-1-A15
