word,part_of_speech,other_forms,approved_meaning,guidance,ste_examples,page
HYDRAULIC,adj,,"Related to, or operated by, pressurized liquid",,CONNECT THE FITTINGS TO THE HYDRAULIC TEST BENCH.,2-1-H7
HYDRAULICALLY,adv,,With hydraulic power,,MAKE SURE THAT THE LINES ARE HYDRAULICALLY OPERATED. | Blank Page,2-1-H7
IDENTIFICATION,n,,Something that identifies an object,,MAKE SURE THAT THE NAMEPLATE SHOWS THE CORRECT IDENTIFICATION OF THE UNIT.,2-1-I1
IDENTIFY,v,"IDENTIFIES, IDENTIFIED, IDENTIFIED",1. To use a specified code or marking to supply with an identity 2. To show an identity,"For other meanings, use:",IDENTIFY THE WIRES WITH SLEEVES OF DIFFERENT COLORS. | A 406 MHz DIGITAL SIGNAL IDENTIFIES THE EMERGENCY LOCATOR TRANSMITTER AND ITS LOCATION. | FIND THE DAMAGED AREAS.,2-1-I1
IF,conj,,"In the event that, on the condition that, in case of",,"IF YOU USE A REPLACEMENT FAIRING PLATE, CUT IT UNTIL YOU GET THE CORRECT MATING DIMENSION.",2-1-I1
IGNORE,v,"IGNORES, IGNORED, IGNORED","Not to think about something, not to do something about",,IGNORE THE VIBRATION INDICATIONS. | SELECT “CANCEL” TO IGNORE ALL CHANGES.,2-1-I1
ILLUMINATE,v,"ILLUMINATES, ILLUMINATED, ILLUMINATED",To make something visible with an external light source COME ON BE ON,"For lights or lamps, use:","THE EMERGENCY LIGHTS COME ON TO ILLUMINATE THE EVACUATION PATH. | WHEN THE PRESSURE LIGHT COMES ON, READ THE VALUE ON THE PRESSURE GAUGE. | MAKE SURE THAT THE LAMP COMES ON. | MAKE SURE THAT THE LAMP IS ON.",2-1-I2
IMMEDIATELY,adv,,Without a gap of time or space,,MAKE SURE THAT THE EMERGENCY LIGHT IMMEDIATELY GOES BACK TO ”OFF.”,2-1-I2
IMPORTANT,adj,,That has a significant effect,,THESE PROCEDURES ARE VERY IMPORTANT.,2-1-I3
IN,adv,,"To, or into a location or position",,MAKE SURE THAT THE SWITCHES ARE PUSHED IN.,2-1-I4
IN,prep,,"Function word that shows location, position, condition, time, or limits",,LET THE SWITCH STAY IN THE SET POSITION. | THE COMPENSATORS ARE IN THE WING BAY. | DO NOT PARK THE VEHICLE IN STRONG WINDS. | MAKE SURE THAT THE LIGHT COMES ON IN 5 SECONDS. | MAKE SURE THAT THE CRACKS ARE IN THE LIMITS.,2-1-I5
IN FRONT OF,prep,,In a position ahead of,,PUT CHOCKS IN FRONT OF THE WHEELS.,2-1-I5
IN PROGRESS,adv,,Occurring,,"IF AN INTERACTIVE SESSION IS IN PROGRESS, LET IT CONTINUE UNTIL IT IS FULLY COMPLETED.",2-1-I5
INBOARD,adj,,Nearer to the longitudinal axis,,REMOVE THE INBOARD FAIRING OF THE FLAP HINGE.,2-1-I6
INBOARD,adv,,In or to a position nearer to the longitudinal axis,,THE LANDING GEAR RETRACTS INBOARD INTO THE BAY.,2-1-I6
INBOARD OF,prep,,At a position nearer to the longitudinal axis,,PUT THE ACCESS PLATFORM IN POSITION BELOW THE ACCESS PANEL THAT IS INBOARD OF THE FLAP TRACK.,2-1-I6
INCIDENT,n,,An important occurrence that can cause damage or have dangerous results,,RECORD ALL INCIDENTS OF WATER FOUND IN THE FUEL.,2-1-I6
INCLUDE,v,"INCLUDES, INCLUDED, INCLUDED","To make, or to be, part of",,THIS CHAPTER INCLUDES THE PROCEDURES FOR THE REMOVAL OF THE COMPONENTS.,2-1-I6
INCORRECT,adj,,Not correct,,"IF THE TRIM TAB ADJUSTMENT IS INCORRECT, DO STEPS 7 THRU 10.",2-1-I7
INCORRECTLY,adv,,In an incorrect manner,,"IF YOU SEE THE RED MARK, THE PART IS INSTALLED INCORRECTLY.",2-1-I7
INCREASE,v,"INCREASES, INCREASED, INCREASED",To make or become larger or higher in value,,INCREASE THE VANE ANGLE TO 90 DEGREES. | MAKE SURE THAT THE TEMPERATURE INCREASES TO 30 °C.,2-1-I8
INCREMENT,n,,"One of a sequence of regular operations done one after the other, to increase or decrease an adjustable quantity",,ADJUST THE STOP BOLT IN INCREMENTS OF 5 mm.,2-1-I8
INDEPENDENTLY,adv,,Without a relation with,,THE EMERGENCY SYSTEM IS CONTROLLED INDEPENDENTLY.,2-1-I8
INDICATION,n,,Something that is shown,,MAKE SURE THAT THE INDICATION IS CORRECT.,2-1-I8
INFLATE,v,"INFLATES, INFLATED, INFLATED",To make or become larger as a result of pressurization by a gas,,"INFLATE THE TIRES WITH NITROGEN. | OPERATION OF THE HANDLE RELEASES THE GAS, AND THE SLIDE-RAFT INFLATES.",2-1-I9
INFORMATION,n,,Data collected and made available for a specified function,,THIS MANUAL CONTAINS INFORMATION ABOUT MAINTENANCE PROCEDURES.,2-1-I9
INITIAL,adj,,That is related to the start,,MOVE THE LEVER BACK TO ITS INITIAL POSITION.,2-1-I10
INITIALLY,adv,,At the start,,"INITIALLY, THE SPEED INCREASES TO 3000 RPM.",2-1-I10
INJURY,n,,Damage to a person,,BEND THE ENDS OF THE LOCKING WIRE TO PREVENT INJURY.,2-1-I10
INNER,adj,,Nearer to the center of an object,,THE INNER SURFACE OF THE PART IS BLACK.,2-1-I10
INPUT,n,,"The data, power, or energy put into equipment or a system",,THE UNIT COMPARES THE INPUTS FROM THE TWO SENSORS TO THE COMPUTER.,2-1-I10
INSPECTION,n,,The procedure which compares an object with its standard or specification,,USE A VOLTMETER TO DO THIS INSPECTION.,2-1-I11
INSTALL,v,"INSTALLS, INSTALLED, INSTALLED",To attach an item in or to a second item,,INSTALL THE NEW O-RINGS ON THE SPINDLE.,2-1-I11
INSTALLATION,n,,The procedure which installs an item,,REFER TO PARAGRAPH 3 FOR THE INSTALLATION OF THE UNIT.,2-1-I11
INSTRUCTION,n,,A command that you must obey,,"IF YOU DO NOT OBEY THIS INSTRUCTION, DAMAGE CAN OCCUR.",2-1-I12
INSTRUMENT,n,,An item which measures and/or shows,,ALL THE INSTRUMENTS ARE ON THE LEFT QUARTER PANEL.,2-1-I12
INSULATION,n,,A material that helps to prevent the movement of energy,,MAKE SURE THAT YOU DO NOT CAUSE DAMAGE TO THE INSULATION.,2-1-I12
INTENSITY,n,,"The quantity of strength, force, or energy",,OPERATE THE DIMMER SWITCH AND MAKE SURE THAT THE INTENSITY OF THE LIGHT CHANGES.,2-1-I12
INTERCHANGE,v,"INTERCHANGES, INTERCHANGED, INTERCHANGED",To put or use each of two things in the place of the other without change,,INTERCHANGE THE No. | 1 AND No. | 2 COMPUTERS. | THEN DO THE TEST AGAIN.,2-1-I12
INTERCHANGEABLE,adj,,That you can interchange,,RELAYS 2YG AND 8YG ARE FULLY INTERCHANGEABLE ITEMS.,2-1-I13
INTERFACE,n,,The connection between two systems or components,,CLEAN THE INTERFACE BETWEEN THE COMPUTER AND THE SENSOR.,2-1-I13
INTERMITTENT,adj,,"That stops and starts again, not continuous",,THIS CAUSES INTERMITTENT OPERATION OF THE WARNING LIGHTS.,2-1-I15
INTERMITTENTLY,adv,,In an intermittent manner,,THE LIGHT COMES ON INTERMITTENTLY.,2-1-I15
INTERNAL,adj,,"Of, or on, the inner side and inner space",,MAKE SURE THAT FUEL COMES OUT OF THE INTERNAL EJECTORS.,2-1-I15
INTERNALLY,adv,,"Of, or on, the inner side and inner space",,USE A BORESCOPE TO EXAMINE THE COMBUSTOR INTERNALLY.,2-1-I15
INTERVAL,n,,A distance or gap between two points in space or time,,DO THE TEST AT FIVE-MINUTE INTERVALS.,2-1-I15
INTO,prep,,"1. Movement to something and access to it 2. Function word that shows change, condition, result",,"IF AN OBJECT FALLS INTO THE OPENING, DAMAGE TO THE ENGINE CAN OCCUR. | THE PARTS OF THE STRUCTURE ARE DIVIDED INTO THREE GROUPS.",2-1-I15
INVESTIGATION,n,,An official and accurate inquiry or research,,THE TASK TEAM STARTED THE INVESTIGATION TO FIND THE CAUSE OF THE ACCIDENT.,2-1-I15
IRREGULAR,adj,,Not regular,,"IF THE SIGNALS ARE IRREGULAR, REPLACE THE UNIT.",2-1-I16
IRREGULARLY,adv,,Not regularly,,"IF THE UNIT RECEIVES THE SIGNALS IRREGULARLY, REPLACE IT.",2-1-I16
ISOLATE,v,"ISOLATES, ISOLATED, ISOLATED",To prevent a supply or connection to,,ISOLATE THE ELECTRICAL POWER SUPPLY.,2-1-I16
IT,pron,,1. That refers to a thing that was previously mentioned 2. That refers to an explicit or implicit state of affairs or circumstances,,CAREFULLY MOVE THE DEFLECTOR UNIT DOWN UNTIL IT ENGAGES. | IT IS IMPORTANT TO DO THIS ADJUSTMENT CORRECTLY.,2-1-I16
ITEM,n,,A thing that is determined or specified,,LUBRICATE THESE ITEMS WITH GREASE.,2-1-I16
ITS,adj,,Belonging to a thing,,REMOVE THE UNIT AND ITS WIRING.,2-1-I16
JOINT,n,,The area at which two surfaces or edges touch or are attached,,SEAL THE JOINT WITH SEALING COMPOUND.,2-1-J1
KEEP,v,"KEEPS, KEPT, KEPT",To continue to have or hold,,KEEP THE COMPOUND IN A CLOSED CONTAINER.,2-1-K1
KILL,v,"KILLS, KILLED, KILLED",To cause death,,HIGH VOLTAGES CAN KILL YOU.,2-1-K1
KNOW,v,"KNOWS, KNEW, KNOWN","To be sure of data, to have data ready to use",,"IF YOU KNOW THE CLEARANCE, YOU CAN CALCULATE THE THICKNESS OF THE WASHER. | Blank Page",2-1-K1
LAMINATED,adj,,Made of laminations,,THIS PANEL IS MADE OF LAMINATED CARBON FIBER.,2-1-L1
LAMINATION,n,,Layers of one or more materials bonded together,,"IF THE LAMINATION IS DAMAGED, REPLACE THE PANEL.",2-1-L1
LARGE,adj,"LARGER, LARGEST","More than average in dimension, quantity, or capacity",,CLEAN YOUR SKIN WITH A LARGE QUANTITY OF CLEAN WATER.,2-1-L1
LAST,adj,,That comes at the end,,"IMMEDIATELY AFTER THE LAST FLIGHT OF THE DAY, INSTALL ALL COVERS.",2-1-L1
LAST,adv,,After other persons or things,,FILL THE OUTER TANKS LAST.,2-1-L1
LATCH,v,"LATCHES, LATCHED, LATCHED",To hold something in position with a latching device,,MAKE SURE THAT YOU LATCH THE DOOR CORRECTLY. | MAKE SURE THAT THE DOOR LATCHES CORRECTLY.,2-1-L1
LATERAL,adj,,Related to or on the side,,ADJUST THE LATERAL LEVEL.,2-1-L2
LATERALLY,adv,,In a lateral direction,,"PUSH THE UNIT OUT, AND THEN MOVE IT LATERALLY.",2-1-L2
LAYER,n,,"A material applied to a surface or put on, or below, a second material",,APPLY A THIN LAYER OF SEALING COMPOUND ON THE BARE METAL.,2-1-L2
LEAK,n,,"A crack, gap or hole which lets fluid or light go into or come out of something",,EXAMINE THE SWIVEL COUPLINGS FOR LEAKS.,2-1-L2
LEAKAGE,n,,The quantity of material that goes through a leak,,MEASURE THE LEAKAGE FROM THE OUTLET PORT.,2-1-L3
LEFT,adj,,On the west side when you look north,,INSTALL THE CONTROL PANEL IN THE LEFT CONSOLE.,2-1-L3
LENGTH,n,,1. The distance from one end to the other end 2. The longer or longest of the three dimensions of an object,,MEASURE THE LENGTH OF THE JACK RAM. | THE DIMENSIONS OF THE UNIT ARE: - LENGTH 300 mm - WIDTH 90 mm - THICKNESS 60 mm.,2-1-L3
LESS,adj,,"Of smaller dimension, value, quantity, volume, or number",No other forms of this adjective.,THE FLOW RATE MUST NOT BE LESS THAN 4.0 GPM.,2-1-L4
LET,v,"LETS, LET",To give opportunity,No other verb forms.,LET THE ADHESIVE BECOME TACKY.,2-1-L4
LEVEL,adj,,Horizontal to a known datum,,PARK THE VEHICLE ON LEVEL GROUND.,2-1-L4
LEVEL,n,,"A horizontal line, plane, surface, or condition",,FILL THE TANK TO THE CORRECT LEVEL (REFER TO FIG. | 105).,2-1-L4
LIFE,n,,The time during which you can use an item or object,,THE LIFE OF THE CARTRIDGE IN THE FIRE EXTINGUISHER IS 3 YEARS.,2-1-L5
LIFT,v,"LIFTS, LIFTED, LIFTED",To move something up,,LIFT THE COVER CAREFULLY.,2-1-L5
LIGHT,adj,"LIGHTER, LIGHTEST","That has a small mass, weight, or force","For other meanings, use:",APPLY A LIGHT FORCE ON THE RUDDER PEDALS. | APPLY A THIN LAYER OF SEALANT ON THE SEALING SURFACES OF THE CONTAINER. | APPLY A SMALL QUANTITY OF LUBRICANT ON THE MOVING PARTS.,2-1-L5
LIGHTING,n,,That which gives light to,,A DIMMER UNIT CONTROLS THE PANEL LIGHTING.,2-1-L5
LIGHTLY,adv,,In a light manner,,LIGHTLY RUB THE DEFECTIVE AREA WITH WET ABRASIVE PAPER.,2-1-L5
LIMIT,n,,"A specified maximum or minimum quantity, number, time, or distance",,"IF THE CLEARANCES ARE NOT IN THE LIMITS GIVEN IN FIG. | 4, REFER TO REPAIR SCHEME No. | 2.",2-1-L5
LINEAR,adj,,In a straight line,,MAKE SURE THAT THE RESULTS ARE LINEAR.,2-1-L6
LINEARLY,adv,,In a straight line,,INCREASE THE PRESSURE LINEARLY.,2-1-L6
LIQUID,adj,,That has the properties of a liquid,,"DURING SERVICING, LIQUID OXYGEN FLOWS THROUGH THE STABILIZING CONTAINER.",2-1-L6
LIQUID,n,,A material that is not a gas or a solid,,THE CONVERTER CHANGES THE LIQUID INTO A GAS.,2-1-L6
LISTEN,v,"LISTENS, LISTENED, LISTENED",To use your ears to hear or find,,LISTEN FOR THE SIGNAL.,2-1-L6
LIVE,adj,,That includes explosive material,"For electrical systems, use:",SOME MAINTENANCE TASKS ARE NOT PERMITTED ON AIRCRAFT THAT HAVE LIVE AMMUNITION. | THE SYSTEM IS ENERGIZED.,2-1-L7
LOCAL,adj,,Applicable to a given location or position,,SET THE “LAT” KNOB TO THE LOCAL LATITUDE.,2-1-L7
LOCALLY,adv,,Applicable to a given location or position,,YOU CAN ALSO DO THIS TEST WITH A LOCALLY MADE TOOL.,2-1-L7
LOCATION,n,,A place or site that you can find,,FIGURES 1 THRU 4 SHOW THE LOCATIONS OF THE WALKWAYS.,2-1-L8
LOCK,v,"LOCKS, LOCKED, LOCKED","To attach something, or hold it in position with a locking device",,"LOCK THE SWITCH. | AND REMOVE THE KEY. | BEFORE YOU CONTINUE, MAKE SURE THAT THE SWITCH LOCKS.",2-1-L8
LONG,adj,"LONGER, LONGEST","That has a specified or large length, or a specified or large duration",,"USE A TUBE WHICH IS 3.3 FEET LONG. | IF THE TUBE IS TOO SHORT, USE A LONGER ONE. | MAKE SURE THAT THE TEST SIGNAL IS NOT LONGER THAN 3 TONES.",2-1-L8
LONGITUDINAL,adj,,Related to the longitudinal axis,,ADJUST THE LONGITUDINAL TRIM SYSTEM.,2-1-L9
LONGITUDINALLY,adv,,In a longitudinal direction,,MOVE THE STAND LONGITUDINALLY.,2-1-L9
LOOK,v,"LOOKS, LOOKED, LOOKED",To use your eyes to see or find,,LOOK THROUGH THE INSPECTION WINDOW.,2-1-L9
LOOP,n,,A circular shape made in a flexible material,,MAKE A LOOP OF WIRE AROUND THE UNIT.,2-1-L9
LOOSE,adj,,"1. On, in, but not attached 2. Not tight","For other meanings, use:","MAKE SURE THAT YOU REMOVE ALL TOOLS, EQUIPMENT, AND LOOSE OBJECTS FROM THE AIR INTAKE. | DO A CHECK FOR LOOSE FASTENERS. | MAKE SURE THAT THERE IS TENSION IN THE CABLES.",2-1-L9
LOOSELY,adv,,Not tightly,,MAKE SURE THAT THE PARTS ARE LOOSELY ASSEMBLED.,2-1-L10
LOOSEN,v,"LOOSENS, LOOSENED, LOOSENED",To cause to be not tight,,LOOSEN THE SCREWS THAT ATTACH THE CLAMP TO THE SUPPORT.,2-1-L10
LOW,adj,"LOWER, LOWEST",That is of small value,,THE SWITCH SENSES LOW PRESSURE IN THE DISTRIBUTION CIRCUIT.,2-1-L10
LOWER,v,"LOWERS, LOWERED, LOWERED",To move something down,,LOWER THE ANTENNA TO GET ACCESS TO THE CABLE CONNECTOR.,2-1-L10
LUBRICATE,v,"LUBRICATES, LUBRICATED, LUBRICATED",To apply lubricant,,LUBRICATE THE O-RINGS WITH HYDRAULIC FLUID.,2-1-L10
MAGNETIC,adj,,Related to the properties of a magnet,,REMOVE THE MAGNETIC DRAIN PLUG FROM THE OIL RESERVOIR.,2-1-M1
MAGNETICALLY,adv,,In a magnetic manner,,THE DOOR CLOSES MAGNETICALLY AND LOCKS.,2-1-M1
MAINTENANCE,n,,The servicing and/or the repair of something to keep it in the correct condition,,"DURING MAINTENANCE, OBEY ALL SAFETY PROCEDURES.",2-1-M1
MAKE,v,"MAKES, MADE, MADE","To manufacture, to cause to occur or to become",,MAKE A RECESS FOR THE STUDS OF 5 mm. | MAKE THE CLOTH MOIST WITH WATER. | TILT THE FITTING TO MAKE THE BARREL NUT FALL OUT OF IT.,2-1-M2
MAKE SURE,v,"MAKES SURE, MADE SURE, MADE SURE",To verify and/or do the necessary steps,,MAKE SURE THAT NO LEAK DETECTION FLUID GOES INTO THE OXYGEN SYSTEM.,2-1-M2
MALFUNCTION,n,,Incorrect operation,,REFER TO TABLE 104 TO CORRECT THE MALFUNCTION.,2-1-M2
MANDATORY,adj,,"That which you must do, use, or obey","If you want to use this word in procedures, think about a necessary safety instruction.","THIS SERVICE BULLETIN IS MANDATORY. | BEFORE YOU GO INTO THE LABORATORY, PUT ON PROTECTIVE CLOTHING.",2-1-M2
MANUAL,adj,,Operated with the hands,,"IF THE AUTOMATIC CONTROLS DO NOT OPERATE, USE THE MANUAL PROCEDURE.",2-1-M3
MANUAL,n,,A publication that gives data related to a special subject,,THIS MANUAL GIVES PERFORMANCE DATA.,2-1-M3
MANUALLY,adv,,With your hands,,MOVE THE LEVER MANUALLY.,2-1-M3
MANY,adj,"MORE, MOST",Of a large number,"If it is possible, give the range, number, or quantity.",CORROSION CAN HAVE MANY CAUSES.,2-1-M3
MARK,n,,"Something that you make or is made to show an identification, location, or direction",,THE RED MARKS SHOW A MAXIMUM STEERING ANGLE OF 35 DEGREES.,2-1-M3
MASS,n,,The quantity of matter that is in an object and relates to its weight. The equivalent of inertia,,STRUCTURAL OR EQUIPMENT MODIFICATIONS CAN CHANGE THE BASIC MASS AND THE CENTER-OF-GRAVITY COORDINATES.,2-1-M3
MATERIAL,n,,"A substance from which an item is made, or an item that is necessary to do a task.",,"BEFORE YOU INSTALL THE SEAL, REMOVE THE UNWANTED MATERIAL. | YOU CAN USE EQUIVALENT ALTERNATIVES FOR THESE MATERIALS.",2-1-M4
MATING,adj,,Made to touch,,APPLY GREASE ON THE MATING SURFACES OF THE STARTER GENERATOR.,2-1-M4
MAXIMUM,adj,,"Related to the largest dimension, quantity, number, or value",,THE MAXIMUM VALUE THAT THE VOLTMETER SHOWS IS 199.9 V.,2-1-M4
MAXIMUM,n,,"The largest dimension, quantity, number, or value",,MOVE THE LEVER A MAXIMUM OF 45 DEG.,2-1-M4
MEASURE,v,"MEASURES, MEASURED, MEASURED","To find the dimensions, capacity, or quantity of something",,MEASURE THE LOAD.,2-1-M5
MECHANICAL,adj,,Related to or operated with a mechanism,,THE STANDBY SYSTEM IS MECHANICAL.,2-1-M5
MECHANICALLY,adv,,In a mechanical manner,,OPERATE THE HORIZONTAL STABILIZER MECHANICALLY.,2-1-M5
MECHANISM,n,,An assembly of mechanical parts that are made to operate together,,USE WHITE SPIRIT TO CLEAN A HINGE MECHANISM THAT HAS A GREASE NIPPLE.,2-1-M5
MEDICAL,adj,,Related to medicine,,"IF YOU GET HYDRAULIC FLUID IN YOUR EYES, FLUSH THEM WITH WATER AND GET MEDICAL AID.",2-1-M5
MELT,v,"MELTS, MELTED, MELTED",To change or to cause something to change from solid to liquid because of heat,,THE FUSIBLE PLUGS MUST MELT IN 20 SECONDS OR LESS. | DO NOT USE A FLAME TO MELT THE ICE.,2-1-M6
METHOD,n,,A special type of procedure used to get a specified result,,THIS PROCEDURE GIVES TWO METHODS FOR THE TEMPORARY REPAIR OF THE WATER TUBES.,2-1-M6
MIDDLE,adj,,At a point that is between two other points,,REMOVE THE MIDDLE BELLCRANK UNIT.,2-1-M6
MIDDLE,n,,A point that is at or near the center,,LIFT THE SEAT TO THE MIDDLE OF THE TRAVEL.,2-1-M6
MINIMUM,adj,,"Related to the smallest dimension, quantity, number, or value",,MAKE SURE THAT THE FLUID IN THE RESERVOIR IS ABOVE THE MINIMUM LEVEL.,2-1-M7
MINIMUM,n,,"The smallest dimension, quantity, number, or value",,LET THE PAINT DRY FOR A MINIMUM OF 1 HOUR.,2-1-M7
MINUS,prep,,With the subtraction of,,"INCREASE THE PRESSURE IN THE SHOCK ABSORBER TO 85.5 bar, PLUS OR MINUS 2.7 bar.",2-1-M7
MISSING,adj,,That is not there,,"IF SEALS ARE MISSING, INSTALL NEW SEALS.",2-1-M7
MIX,v,"MIXES, MIXED, MIXED",1. To put together two or more materials to become one 2. To become combined,,"MIX THE COMPOUND. | IF FUEL AND WATER MIX, CONTAMINATION CAN OCCUR.",2-1-M7
MIXTURE,n,,The result that you get when you mix materials,,DO NOT USE THIS MIXTURE WHEN THE TEMPERATURE IS LESS THAN 15 °C.,2-1-M7
MOBILE,adj,,That is made to move easily,,CONNECT THE MOBILE GROUND POWER UNIT.,2-1-M8
MODE,n,,A special condition of operation,,MAKE SURE THAT THE “HEADING SELECT” MODE OPERATES.,2-1-M8
MODERATE,adj,,Between low and high values,,APPLY A MODERATE LOAD ON THE BRAKE PEDALS.,2-1-M8
MODERATELY,adv,,In a moderate manner,,YOU CAN APPLY A SECOND LAYER WHEN THE SURFACE IS MODERATELY DRY.,2-1-M8
MOIST,adj,,Moderately wet,,CLEAN THE PANEL WITH A MOIST CLOTH.,2-1-M8
MOMENTARILY,adv,,For a short time,,STOP THE PUMP MOMENTARILY. | THEN START IT AGAIN.,2-1-M8
MONITOR,v,"MONITORS, MONITORED, MONITORED",To do a check at something for a period of time to find if there is a change,,MONITOR THE INDICATORS ON THE OVERHEAD PANEL. | HEAT SENSORS MONITOR THE AMBIENT TEMPERATURE.,2-1-M8
MOOR,v,"MOORS, MOORED, MOORED",To hold something in position with ropes and cables,,"IN BAD WEATHER CONDITIONS, MOOR THE BOAT.",2-1-M9
MORE,adj,,A large quantity of,,ADD MORE SHIMS UNTIL YOU GET THE SPECIFIED CLEARANCE.,2-1-M9
MORE,adv,,To a larger degree,,CORROSION CAN OCCUR MORE EASILY IN THIS AREA THAN IN OTHER AREAS.,2-1-M9
MOST,adj,,To the largest quantity of,,MOST MANUFACTURERS RECOMMEND SYNTHETIC LUBRICANTS.,2-1-M9
MOST,adv,,To the largest degree,,FAULT MESSAGES THAT SHOW IN RED ARE THE MOST IMPORTANT.,2-1-M9
MOVABLE,adj,,That can move if necessary,,TURN THE MOVABLE HALF-COLLAR OF THE SUPPORT.,2-1-M9
MOVE,v,"MOVES, MOVED, MOVED",To change or cause to change position or location,,MAKE SURE THAT THE POINTER MOVES FREELY. | MOVE THE VALVE UNTIL IT ALIGNS WITH THE ACTUATOR SHAFT.,2-1-M10
MOVEMENT,n,,A change of position or location,,SUDDEN OPERATION OF THE GYRO CAN CAUSE UNWANTED MOVEMENT OF THE HORIZONTAL STABILIZER.,2-1-M10
MUCH,adj,"MORE, MOST","Of relatively large dimension, value, quantity, or volume",,DO NOT APPLY TOO MUCH PRESSURE.,2-1-M10
MUCH,adv,,To a great degree or extent,,BE CAREFUL THAT YOU DO NOT TURN THE INNER RACES TOO MUCH.,2-1-M10
MULTIPLY,v,"MULTIPLIES, MULTIPLIED, MULTIPLIED",To use multiplication to get a result,"For other meanings, use:",MULTIPLY THE INDICATOR VALUE BY THE SCALE VALUE. | THE NUMBER OF CRACKS CAN INCREASE.,2-1-M10
MUST,v,,Auxiliary modal verb that shows obligation,,THE BAT 1 SWITCH MUST BE IN THE ON POSITION.,2-1-M10
NAME,n,,The identification you give to a person or an object,,PUSH THE BUTTON ADJACENT TO THE NAME OF THE SYSTEM. | WRITE YOUR NAME ON THE REGISTRATION FORM.,2-1-N1
NEAR,adj,"NEARER, NEAREST",At or to a relatively short distance,,PUT THE SYRINGE ON THE NEAREST SURFACE OF THE EXAMINATION TABLE.,2-1-N1
NEAR,prep,,Approaching in space or condition,,BALANCE THE ELEVATOR NEAR ITS MAXIMUM LIMIT. | MAKE SURE THAT THE COMPUTER SCREEN IS NOT NEAR THE WINDOW.,2-1-N1
NECESSARY,adj,,That must be,,TWO HOURS ARE NECESSARY TO COMPLETE THE EXAM.,2-1-N1
NEUTRAL,adj,,1. That has no effect 2. That is not acid or alkaline,,MAKE SURE THAT THE CONTROLS ARE IN THE NEUTRAL POSITION. | CLEAN THE SCREEN WITH A NEUTRAL SOLUTION.,2-1-N1
NEW,adj,"NEWER, NEWEST",Not used before,,INSTALL A NEW GASKET ON THE FLANGE.,2-1-N2
NEXT,adj,,The first occurrence that follows immediately after in time or sequence.,,REMOVE THE UNIT BEFORE THE NEXT OPERATING CYCLE.,2-1-N2
NO,adj,,Not any,,MAKE SURE THAT THERE IS NO FUEL LEAKAGE.,2-1-N2
NO,adv,,Function word that shows the negative answer to a question,,DOES THE LIGHT COME ON? | YES OR NO?,2-1-N2
NOISE,n,,An unwanted sound,,"WHILE THE ENGINE CONTINUES TO TURN, LISTEN FOR UNUSUAL NOISES.",2-1-N2
NONE,pron,,"Not one, not anyone",,"IF NONE OF THE BRACKETS ARE DAMAGED, CONTINUE THE INSPECTION.",2-1-N2
NOSE,n,,"The front end or part, a part that protrudes",,PULL THE TRANSPARENT PLASTIC COLLAR AWAY FROM THE NOSE OF THE ELECTRICAL LATCH.,2-1-N3
NOT,adv,,Adverb of negation,,DO NOT LET THE PRESSURE INCREASE TO MORE THAN 3000 psi.,2-1-N3
NOTCH,n,,An area in the shape of a “V”,,MAKE SURE THAT THE BOGIE ROLLERS ARE ALIGNED WITH THE NOTCHES IN THE TRACK.,2-1-N3
NUMBER,n,,1. A symbol or word that identifies an integer and/or decimal 2. An amount that you can count or calculate,,"NEGATIVE NUMBERS SHOW THAT THE PRESSURE DECREASES. | IF THE NUMBER OF FAILURES IS MORE THAN THREE, REPLACE THE UNIT.",2-1-N4
OBEY,v,"OBEYS, OBEYED, OBEYED",To do that which the procedures or instructions tell you,,OBEY THE PRECAUTIONS THAT FOLLOW.,2-1-O1
OBJECT,n,,Something that you can see or touch,,MAKE SURE THAT THERE ARE NO LOOSE OBJECTS IN THE AIR INTAKE.,2-1-O1
OCCUR,v,OCCURS OCCURRED,"To be found or to take place, to come to be",,"A SUDDEN MOVEMENT OF THE CONTROL SURFACES CAN OCCUR. | IF THE SYMPTOMS OCCUR AGAIN, DO A SYSTEM TEST.",2-1-O2
OF,prep,,"Function word that shows: from, belonging to, having, or containing",,REMOVE THE SPLIT PINS FROM THE BOLTS IN THE BOTTOM ENDS OF THE CONTROL RODS.,2-1-O2
OFF,adj,,Not in operation,,MAKE SURE THAT THE BATTERIES ARE OFF.,2-1-O2
OFF,adv,,1. Not in operation 2. Not in contact,,MAKE SURE THAT THE WARNING LIGHT GOES OFF. | THE HANDLE MUST COME OFF EASILY.,2-1-O2
OFF,prep,,Not in contact with,,MAKE SURE THAT THE TIRE IS FULLY OFF THE GROUND.,2-1-O2
ON,adj,,In operation,,MAKE SURE THAT THE BATTERIES ARE ON.,2-1-O3
ON,adv,,1. In operation 2. In contact,,MAKE SURE THAT THE WARNING LIGHT STAYS ON. | MAKE SURE THAT THE LID GOES ON EASILY.,2-1-O3
ON,prep,,"Function word that shows contact, support, direction",,PUT THE ASSEMBLED PARTS ON THE SUPPORT FITTING.,2-1-O3
ONE,pron,,That refers to a single person or object,You can also use this word as a technical noun.,"IF THE LABEL IS NOT THERE, ATTACH A NEW ONE.",2-1-O3
ONLY,adj,,Nothing more or different,,THIS IS THE ONLY APPROVED CONFIGURATION.,2-1-O3
