verb,other_forms,approved_meaning,ste_examples,page
ISOLATE,"ISOLATES, ISOLATED, ISOLATED",To prevent a supply or connection to,ISOLATE THE ELECTRICAL POWER SUPPLY.,2-1-I16
TILT,"TILTS, TILTED, TILTED",To move at an angle or to put something at an angle between the vertical and the horizontal,"TO ALIGN THE BOLT, TILT IT TO THE LEFT SIDE. | IF THE SHAFT TILTS, STOP THE TEST PROCEDURE.",2-1-T7
BOND,,1. A connection between structural components for electrical continuity 2. A firm connection with another material,DO A RESISTANCE CHECK OF THE PRIMARY BONDS. | MAKE SURE THAT THE BOND BETWEEN THE HONEYCOMB CORE AND THE SKIN IS CORRECT.,2-1-B6
DRY,"DRIER, DRIEST",Without liquid or moisture,MAKE SURE THAT THE SURFACE IS DRY.,2-1-D19
TORQUE,"TORQUES, TORQUED, TORQUED",To tighten to a specified torque,TORQUE THE PLUG TO 6 Nm.,2-1-T8
BREAK,"BREAKS, BROKE, BROKEN",To cause to separate or become separated into parts by force,"BREAK THE BOND OF THE SEALANT. | IF THE SHEAR PIN BREAKS, DO AN INSPECTION OF THE TOWBAR.",2-1-B8
READ,"READS, READ, READ",To come to know information with the eyes or electronically,READ THE INDICATORS ON THE CONTROL PANEL.,2-1-R2
TOUCH,"TOUCHES, TOUCHED, TOUCHED",To be in contact,MAKE SURE THAT THE LOCK NUT TOUCHES THE SPRING.,2-1-T9
BREATHE,"BREATHES, BREATHED, BREATHED",To get gas into or out of the lungs,DO NOT BREATHE THE SOLVENT FUMES. | BREATHE INTO THE OXYGEN MASK.,2-1-B8
EAT,"EATS, ATE",To consume food,DO NOT EAT IN THE WORK AREA. | DO NOT SWALLOW THE POTTING COMPOUND.,2-1-E2
KEEP,"KEEPS, KEPT, KEPT",To continue to have or hold,KEEP THE COMPOUND IN A CLOSED CONTAINER.,2-1-K1
RECEIVE,"RECEIVES, RECEIVED, RECEIVED","To get energy, material, or a signal from a different source",MAKE SURE THAT THE CAPTAIN'S BOOMSET RECEIVES THE SIGNALS CORRECTLY.,2-1-R4
TOW,"TOWS, TOWED, TOWED",To pull something along,"BEFORE YOU TOW THE VEHICLE BACK TO ITS INITIAL POSITION, COMPLETE THE PROCEDURE",2-1-T9
BURN,"BURNS, BURNED, BURNED",1. To cause or undergo combustion 2. To cause injury or damage through heat,THE TURBINE BURNS FUEL. | THE SEALANT BURNS AT 109 DEG. | F. | HOT SURFACES CAN BURN YOU.,2-1-B9
EJECT,"EJECTS, EJECTED, EJECTED",To move or to cause a person or item to move from an aircraft or equipment with force,"IF YOU PULL THE EJECTION SEAT HANDLE, THE SEAT WILL EJECT.",2-1-E3
KILL,"KILLS, KILLED, KILLED",To cause death,HIGH VOLTAGES CAN KILL YOU.,2-1-K1
RECOMMEND,"RECOMMENDS, RECOMMENDED, RECOMMENDED",To advise that which is best,THE MANUFACTURER RECOMMENDS THAT YOU KEEP THE UNIT IN A DEDICATED AREA.,2-1-R5
TRANSMIT,"TRANSMITS, TRANSMITTED, TRANSMITTED",To send energy or a signal,MAKE SURE THAT THE TRANSPONDER TRANSMITS THE SIGNAL CORRECTLY.,2-1-T10
BYPASS,"BYPASSES, BYPASSED, BYPASSED",To change a circuit so that it goes past something instead of through it,"IN THIS CONFIGURATION, THE HYDRAULIC PRESSURE BYPASSES THE VALVE.",2-1-B10
ENERGIZE,"ENERGIZES, ENERGIZED, ENERGIZED",To supply electrical power to,ENERGIZE THE AC AND DC BUSBARS.,2-1-E6
KNOW,"KNOWS, KNEW, KNOWN","To be sure of data, to have data ready to use","IF YOU KNOW THE CLEARANCE, YOU CAN CALCULATE THE THICKNESS OF THE WASHER. | Blank Page",2-1-K1
RECORD,"RECORDS, RECORDED, RECORDED",1. To make notes of and keep data to use subsequently 2. To put data on a storage medium,RECORD THE RESULTS. | THE COCKPIT VOICE RECORDER RECORDS SIGNALS FROM FOUR AUDIO INPUTS DURING THE FLIGHT.,2-1-R5
TRY,"TRIES, TRIED, TRIED",To make an effort to do something,TRY TO MOVE THE CONTROL COLUMN.,2-1-T12
ENGAGE,"ENGAGES, ENGAGED, ENGAGED",To correctly align and come together,ENGAGE THE CLUTCH. | MAKE SURE THAT THE CLUTCH ENGAGES.,2-1-E6
RECYCLE,"RECYCLES, RECYCLED, RECYCLED",To put a used material through a process to make it possible to use it or its components again,MAKE SURE THAT YOU RECYCLE THE REMOVED INSULATION MATERIAL. | DO ONE MORE TEST CYCLE OF THE COMPONENT.,2-1-R6
TUNE,"TUNES, TUNED, TUNED",To adjust equipment to the best performance,TUNE ADF 1 TO A KNOWN FREQUENCY.,2-1-T12
CALCULATE,"CALCULATES, CALCULATED, CALCULATED",To find a result by mathematics,CALCULATE THE PERCENTAGE WITH THE APPLICABLE FORMULA.,2-1-C1
ERASE,"ERASES, ERASED, ERASED",To remove data from a medium,ERASE THE TAPE.,2-1-E8
LATCH,"LATCHES, LATCHED, LATCHED",To hold something in position with a latching device,MAKE SURE THAT YOU LATCH THE DOOR CORRECTLY. | MAKE SURE THAT THE DOOR LATCHES CORRECTLY.,2-1-L1
REFER,"REFERS, REFERRED, REFERRED",1. To tell a person where to find information 2. To give information,"REFER TO CHAPTER 28 FOR THE INSTALLATION PROCEDURE. | BEFORE YOU DO THIS PROCEDURE, ENGAGE THE RAMP SERVICE DOOR SAFETY CONNECTOR PIN (THE PIN THAT HOLDS THE RAMP SERVICE DOOR, REFERRED TO IN THIS PROCEDURE AS THE “SAFETY CONNECTOR PIN”).",2-1-R6
TURN,,One full cycle of movement around an axis,LET THE PRESSURE BECOME STABLE AFTER EACH TURN OF THE ADJUSTMENT SCREW.,2-1-T12
CALIBRATE,"CALIBRATES, CALIBRATED, CALIBRATED",To measure and adjust the precision of something,CALIBRATE THE THERMOMETER TO THE CELSIUS SCALE.,2-1-C1
EXAMINE,"EXAMINES, EXAMINED, EXAMINED",To look carefully at,EXAMINE THE COMPUTER FOR DAMAGE.,2-1-E12
LET,"LETS, LET",To give opportunity,LET THE ADHESIVE BECOME TACKY.,2-1-L4
REFUEL,"REFUELS, REFUELED, REFUELED",To supply with fuel,REFUEL THE VEHICLE.,2-1-R7
TWIST,"TWISTS, TWISTED, TWISTED",1. To use a force that turns something and causes a distortion 2. To turn or change shape as a result of torsion,"DO NOT TWIST THE CABLES. | IF THE CABLE TWISTS, DISCONNECT THE TWO CONNECTORS.",2-1-T13
CAN,"CAN, COULD","Auxiliary modal verb that means to be possible, to be able to, or to be permitted to","A MIXTURE OF FUEL AND OXYGEN CAN CAUSE AN EXPLOSION. | YOU CAN CLEAN THE DRAIN HOLES WITH THE CLEANING TOOL. | YOU CAN OPERATE THE VEHICLE AFTER THE INSPECTION IS COMPLETED. | IF YOU DO NOT OBEY THIS WARNING, AN EXPLOSION CAN OCCUR.",2-1-C1
EXPAND,"EXPANDS, EXPANDED, EXPANDED","To increase in dimension, volume, or time",THE BELLOWS MUST EXPAND. | HEAT EXPANDS THE GAS IN THE CONTAINER.,2-1-E16
LIFT,"LIFTS, LIFTED, LIFTED",To move something up,LIFT THE COVER CAREFULLY.,2-1-L5
REJECT,"REJECTS, REJECTED, REJECTED",To make a decision that something is unsatisfactory,REJECT THE PARTS THAT ARE DAMAGED.,2-1-R8
CANCEL,"CANCELS, CANCELED, CANCELED",1. To do the necessary steps to stop a process 2. To remove the validity of something,"IF YOU ACCIDENTALLY PUSH THE SWITCH, CANCEL THE START SEQUENCE. | THIS NEW REVISION AUTOMATICALLY CANCELS THE PREVIOUS ONE.",2-1-C2
EXTEND,"EXTENDS, EXTENDED, EXTENDED","To increase, or cause something to increase, in dimension or range",FULLY EXTEND THE JACK RAM. | MAKE SURE THAT THE RODS EXTEND AND RETRACT.,2-1-E17
LISTEN,"LISTENS, LISTENED, LISTENED",To use your ears to hear or find,LISTEN FOR THE SIGNAL.,2-1-L6
RELEASE,"RELEASES, RELEASED, RELEASED","To make free, to let go",RELEASE THE INSTRUMENT PANEL TO GET ACCESS TO THE CONNECTIONS.,2-1-R9
UNFOLD,"UNFOLDS, UNFOLDED, UNFOLDED",To open or to straighten or to cause to open or to straighten from a folded position or condition,UNFOLD THE SHEETING CAREFULLY. | MAKE SURE THAT THE INDICATOR LIGHT COMES ON WHEN THE BLADES UNFOLD.,2-1-U3
CANNOT,,Auxiliary modal verb that means to not be able to,THE WHEEL CANNOT MOVE WHEN THE LOCK IS ENGAGED.,2-1-C2
EXTINGUISH,"EXTINGUISHES, EXTINGUISHED, EXTINGUISHED",To stop burning GO OFF BE OFF,"TO EXTINGUISH A FIRE IN THE ENGINE, ACTIVATE THE FIRE SUPPRESSION SYSTEM IMMEDIATELY. | WHEN THE FLAME EXTINGUISHES, STOP THE FUEL SUPPLY. | THE “AUTO BRK” PUSHBUTTON LIGHT GOES OFF. | MAKE SURE THAT THE GREEN LIGHT ON THE PANEL IS OFF.",2-1-E18
LOCK,"LOCKS, LOCKED, LOCKED","To attach something, or hold it in position with a locking device","LOCK THE SWITCH. | AND REMOVE THE KEY. | BEFORE YOU CONTINUE, MAKE SURE THAT THE SWITCH LOCKS.",2-1-L8
REMOVE,"REMOVES, REMOVED, REMOVED",To take or move something away from its initial position,REMOVE THE INDICATOR FROM THE PANEL.,2-1-R9
UNLOCK,"UNLOCKS, UNLOCKED, UNLOCKED",To release or become released from a locked condition,"BEFORE YOU UNLOCK THE DOOR, MAKE SURE THAT THE CABIN DIFFERENTIAL PRESSURE IS ZERO. | IF THE LEVER UNLOCKS DURING THE TEST, SET THE LEVER TO THE LOCKED POSITION AGAIN.",2-1-U4
CATCH,"CATCHES, CAUGHT, CAUGHT",To stop or prevent the movement of something,THE LUG ON THE PANEL OPENING CATCHES THE BOTTOM OF THE DRAWER. | DO NOT LET THE TOOL CATCH ON THE PANEL. | COLLECT THE LEAKAGE IN A GRADUATED BEAKER.,2-1-C4
LOOK,"LOOKS, LOOKED, LOOKED",To use your eyes to see or find,LOOK THROUGH THE INSPECTION WINDOW.,2-1-L9
REPAIR,,The act of repairing or the result when something is repaired,"AFTER THE REPAIR, APPLY A PROTECTIVE LAYER OF GREASE TO ALL EXTERNAL SURFACES.",2-1-R10
UNWIND,"UNWINDS, UNWOUND, UNWOUND",To remove or become removed from around an object,"UNWIND THE CABLE. | IF THE HOSE UNWINDS TOO QUICKLY FROM THE REEL, STOP THE TEST.",2-1-U6
CAUSE,,Something that brings about a result,DO THE TROUBLESHOOTING PROCEDURE TO FIND THE CAUSE OF THE MALFUNCTION.,2-1-C4
FALL,"FALLS, FELL, FALLEN",To move down by the force of gravity,MAKE SURE THAT THE TOOLS DO NOT FALL INTO THE ENGINE.,2-1-F3
